village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
248,1,8.7142859,3.5357144,2.9642856,2.2142856,11.625,4.625,3.875,3.125,13.625,5.4375,4.25,3.9375,15.388889,5.8888888,4.7222223,4.7777777,.5,.60714287,28
249,0,10.318182,4,3.1363637,3.1818182,12.636364,5,3.909091,3.7272727,13.888889,5.4444447,4.1111112,4.3333335,12.461538,4.6923075,3.6153846,4.1538463,.63636363,.13636364,22
250,0,7.5714288,3.0476191,2.4761906,2.0476191,10.769231,4.6153846,3.0769231,3.0769231,9.6875,4.125,3,2.5625,10.833333,4.6666665,3.25,2.9166667,.52380955,.61904764,21
251,0,6.5652175,2.4782608,2.3043478,1.7826087,9.545455,3.8181818,3.090909,2.6363637,9.875,4.0625,3.1875,2.625,10.692307,4.2307692,3.5384614,2.9230769,.47826087,.78260869,23
252,1,8.6315794,3.5789473,2.8421052,2.2105262,12.769231,5.1538463,3.7692308,3.8461537,11.5,4.25,3.6666667,3.5833333,14.3,5.4000001,4.5999999,4.3000002,.47368422,0,19
253,1,5.0799999,1.76,1.92,1.4,6.8666668,2.6666667,2.4000001,1.8,6.1333332,1.7333333,2.4666667,1.9333333,8.5333338,2.9333334,3.0666666,2.5333333,.47999999,.079999998,25
254,1,7.181818,2.6818182,2.6818182,1.8181819,9.0714283,3.6428571,3.2142856,2.2142856,8.2307692,3.0769231,3,2.1538463,9.1000004,3.0999999,3.3,2.7,.40909091,.5,22
255,0,5.9032259,1.967742,2.3225806,1.6129032,7.3684211,2.5263157,2.7368422,2.1052632,7.4736843,2.7368422,2.6842105,2.0526316,6.8235292,2.2941177,2.4705882,2.0588236,.45161289,.58064514,31
256,1,5.0666666,1.8666667,2.0666666,1.1333333,7.1111112,2.6666667,2.6666667,1.7777778,8.6999998,3.0999999,2.9000001,2.7,11.5,4,4,3.5,.46666667,.73333335,15
257,1,8.1578951,3.1052632,2.9473684,2.1052632,12.294118,5.1764708,4.0588236,3.0588236,,,,,,,,,.47368422,.10526316,19
258,1,5.2413793,2,1.9655173,1.2758621,7.6666665,3.2,2.5333333,1.9333333,7.7222223,3.1666667,2.6111112,1.9444444,10.266666,3.5333333,3.4666667,3.2666667,.48275861,.89655173,29
259,0,8,3.2,2.7666667,2.0333333,10.4,4.3333335,3.3333333,2.7333333,10.578947,4.6315789,3.3684211,2.5789473,12.285714,5.5238094,3.6190476,3.1428571,.53333336,.46666667,30
260,0,6.9285712,3.0714285,2.2857144,1.5714285,7.818182,3.3636363,2.4545455,2,9,3.4444444,2.8888888,2.6666667,13.166667,5.3333335,3.6666667,4.1666665,.2857143,.35714287,14
261,0,5.1538463,2.3076923,1.6923077,1.1538461,8.3999996,3.4000001,2.5999999,2.4000001,7.6666665,3,2.6666667,2,9.25,4,2.75,2.5,.53846157,1,13
262,0,6.3214288,2,2.3571429,1.9642857,8.166667,3,3,2.1666667,9.25,3.55,3.55,2.1500001,11,4.0555553,3.9444444,3,.42857143,.60714287,28
263,1,4.5384617,1.4615384,1.8461539,1.2307693,5.125,1.625,2,1.5,6.5999999,2.0999999,2.5999999,1.9,10.625,3.375,3.5,3.75,.53846157,.46153846,13
264,1,4.3846154,1.5384616,1.6923077,1.1538461,5.1999998,2,1.7,1.5,6.5,2.25,2.5,1.75,9.333333,3.1666667,3.1666667,3,.46153846,.92307693,13
265,0,5.6666665,1.9824561,2.0701754,1.6140351,7.1944447,2.7777777,2.4722223,1.9444444,8,3.1111112,2.5277777,2.3611112,8.666667,3.4666667,2.7,2.5,.47368422,.66666669,57
266,0,7.7017546,3.0701754,2.5438597,2.0877192,10.911765,4.352941,3.2941177,3.2647059,10.235294,4.147059,3.0882354,3,10.878788,4.5151515,3.090909,3.2727273,.42105263,.47368422,57
267,0,6.7647057,2.7058823,2.4117646,1.6470588,10.3,4.1999998,3.5,2.5999999,8.5,3.0833333,3.0833333,2.3333333,9.8999996,4.3000002,3.3,2.3,.52941179,.23529412,17
268,1,5.875,2,2.2083333,1.6666666,7.0625,2.875,2.4375,1.75,9.416667,3.6666667,3.5,2.25,9.8999996,3.2,3.3,3.4000001,.41666666,.625,24
269,0,3.8181818,1.2727273,1.5454545,1,4.8333335,1.5,2.1666667,1.1666666,5.25,1.75,2.25,1.25,5,1.4,2.2,1.4,.72727275,.72727275,11
